"Country","Year","Value","Value Footnotes","Unit"
"Albania","2007","30964","","million cubic metres"
"Albania","2006","32380","","million cubic metres"
"Albania","2005","42840","","million cubic metres"
"Albania","2004","42787","","million cubic metres"
"Albania","2003","27893","","million cubic metres"
"Albania","2002","35883","","million cubic metres"
"Albania","2001","30491","","million cubic metres"
"Albania","2000","30683","","million cubic metres"
"Albania","1999","38284","","million cubic metres"
"Albania","1995","40311","","million cubic metres"
"Albania","1990","28385","","million cubic metres"
"Algeria","2008","100000","","million cubic metres"
"Algeria","2002","37317","","million cubic metres"
"Algeria","2001","43840","","million cubic metres"
"Algeria","2000","64430","","million cubic metres"
"Algeria","1999","50150","","million cubic metres"
"Algeria","1998","66470","","million cubic metres"
"Algeria","1997","74460","","million cubic metres"
"Algeria","1996","53380","","million cubic metres"
"Algeria","1995","90270","","million cubic metres"
"Algeria","1990","76160","","million cubic metres"
"Andorra","2007","306.630004882813","","million cubic metres"
"Andorra","2006","353.220001220703","","million cubic metres"
"Andorra","2005","530.278015136719","","million cubic metres"
"Andorra","2004","567.044006347656","","million cubic metres"
"Andorra","2003","566.5830078125","","million cubic metres"
"Andorra","2002","565.559020996094","","million cubic metres"
"Andorra","2001","456.626007080078","","million cubic metres"
"Andorra","2000","518.666015625","","million cubic metres"
"Andorra","1999","450.151000976563","","million cubic metres"
"Andorra","1998","254","","million cubic metres"
"Andorra","1997","434.475006103516","1","million cubic metres"
"Andorra","1996","560.340026855469","1","million cubic metres"
"Andorra","1995","510.673004150391","1","million cubic metres"
"Andorra","1990","539.947998046875","1","million cubic metres"
"Anguilla","2009","71.0800018310547","","million cubic metres"
"Anguilla","2008","96.8899993896484","","million cubic metres"
"Anguilla","2007","86.2900009155273","","million cubic metres"
"Anguilla","2006","99.5500030517578","","million cubic metres"
"Anguilla","2005","124.400001525879","","million cubic metres"
"Anguilla","2004","84.25","","million cubic metres"
"Anguilla","2003","108.769996643066","","million cubic metres"
"Anguilla","2002","68.1900024414063","","million cubic metres"
"Anguilla","2001","70.7300033569336","","million cubic metres"
"Anguilla","2000","68.1900024414063","","million cubic metres"
"Anguilla","1995","100.730003356934","","million cubic metres"
"Anguilla","1990","93.0999984741211","","million cubic metres"
"Antigua and Barbuda","2009","276.899993896484","","million cubic metres"
"Antigua and Barbuda","2008","392.5","","million cubic metres"
"Antigua and Barbuda","2007","293.600006103516","","million cubic metres"
"Antigua and Barbuda","2006","332.799987792969","","million cubic metres"
"Antigua and Barbuda","2005","371","","million cubic metres"
"Antigua and Barbuda","2004","426.899993896484","","million cubic metres"
"Antigua and Barbuda","2003","253.899993896484","","million cubic metres"
"Antigua and Barbuda","2002","268.600006103516","","million cubic metres"
"Antigua and Barbuda","2001","238","","million cubic metres"
"Antigua and Barbuda","2000","249.600006103516","","million cubic metres"
"Antigua and Barbuda","1999","426.799987792969","","million cubic metres"
"Antigua and Barbuda","1998","384.5","","million cubic metres"
"Antigua and Barbuda","1997","279.200012207031","","million cubic metres"
"Antigua and Barbuda","1996","323.299987792969","","million cubic metres"
"Antigua and Barbuda","1995","374.5","","million cubic metres"
"Antigua and Barbuda","1990","300.299987792969","","million cubic metres"
"Armenia","2009","17713","","million cubic metres"
"Armenia","2008","13378","","million cubic metres"
"Armenia","2007","19221","","million cubic metres"
"Armenia","2006","16658","","million cubic metres"
"Armenia","2005","18714","","million cubic metres"
"Armenia","2004","15287","","million cubic metres"
"Armenia","2003","18595","","million cubic metres"
"Armenia","2002","17761","","million cubic metres"
"Armenia","2001","12516","","million cubic metres"
"Armenia","2000","11264","","million cubic metres"
"Armenia","1999","14393","","million cubic metres"
"Armenia","1998","13559","","million cubic metres"
"Armenia","1997","18595","","million cubic metres"
"Armenia","1996","16777","","million cubic metres"
"Armenia","1995","15407","","million cubic metres"
"Armenia","1990","15794","","million cubic metres"
"Azerbaijan","2009","49463.30078125","","million cubic metres"
"Azerbaijan","2008","38372.5","","million cubic metres"
"Azerbaijan","2007","43126.80078125","","million cubic metres"
"Azerbaijan","2006","40009","","million cubic metres"
"Azerbaijan","2005","35252.30078125","","million cubic metres"
"Azerbaijan","2004","47534.69921875","","million cubic metres"
"Azerbaijan","2003","50728.3984375","","million cubic metres"
"Azerbaijan","2002","46787.3984375","","million cubic metres"
"Azerbaijan","2001","32707.900390625","","million cubic metres"
"Azerbaijan","2000","38368.5","","million cubic metres"
